Condition,Trial,Stim_place,Stimuli_file,Condition_1.thisRepN,Condition_1.thisTrialN,Condition_1.thisN,Condition_1.thisIndex,Second_Condition.thisRepN,Second_Condition.thisTrialN,Second_Condition.thisN,Second_Condition.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,15.459544099867344,None,y,35.76951780007221,15.459544099867344,None,,,,,,,,,,,,,,,T5,001,2021_Dec_01_1456,Circle_SDT,2021.2.3,60.10269138682832,
Still,no-go,"(0, 0)",grey_square.png,0,0,0,18,,,,,,,,,,,51.77401679987088,52.773787499871105,53.286411999957636,53.54025049996562,None,53.286411999957636,None,,,,,,,,T5,001,2021_Dec_01_1456,Circle_SDT,2021.2.3,60.10269138682832,
Still,no-go,"(0, 0)",grey_square.png,0,1,1,21,,,,,,,,,,,55.257184099871665,56.25686199986376,56.757195400074124,57.00718569988385,None,56.757195400074124,None,,,,,,,,T5,001,2021_Dec_01_1456,Circle_SDT,2021.2.3,60.10269138682832,
Still,no-go,"(0, 0)",grey_square.png,0,2,2,16,,,,,,,,,,,58.74052820005454,59.74026879994199,60.24059240007773,60.49070339999162,None,60.24059240007773,58.257525800028816,,,,,,,,T5,001,2021_Dec_01_1456,Circle_SDT,2021.2.3,60.10269138682832,
Still,go,"(0, 0)",grey_circle.png,0,3,3,3,,,,,,,,,,,62.223870099987835,63.223781399894506,63.724050800083205,63.973931199871004,space,63.724050800083205,61.740943300072104,0.38523360015824437,,,,,,,T5,001,2021_Dec_01_1456,Circle_SDT,2021.2.3,60.10269138682832,
Still,no-go,"(0, 0)",grey_square.png,0,4,4,25,,,,,,,,,,,64.6406060999725,65.64023929997347,66.14068780001253,66.39060999988578,None,66.14068780001253,None,,,,,,,,T5,001,2021_Dec_01_1456,Circle_SDT,2021.2.3,60.10269138682832,
Still,go,"(0, 0)",grey_circle.png,0,5,5,5,,,,,,,,,,,68.1239475000184,69.12358490005136,69.62422470003366,69.87407010002062,space,69.62422470003366,67.6410127999261,0.3411975000053644,,,,,,,T5,001,2021_Dec_01_1456,Circle_SDT,2021.2.3,60.10269138682832,
Still,go,"(0, 0)",grey_circle.png,0,6,6,4,,,,,,,,,,,70.49066710006446,71.49062200007029,71.99080020003021,72.24074029992335,space,71.99080020003021,None,0.3746705998200923,,,,,,,T5,001,2021_Dec_01_1456,Circle_SDT,2021.2.3,60.10269138682832,
Still,no-go,"(0, 0)",grey_square.png,0,7,7,29,,,,,,,,,,,72.89075729995966,73.89037139993161,74.39062609989196,74.64083649986424,None,74.39062609989196,None,,,,,,,,T5,001,2021_Dec_01_1456,Circle_SDT,2021.2.3,60.10269138682832,
Still,go,"(0, 0)",grey_circle.png,0,8,8,8,,,,,,,,,,,76.373900400009,77.37381780007854,77.87413750006817,78.12391319987364,space,77.87413750006817,75.89098759996705,0.2991726999171078,,,,,,,T5,001,2021_Dec_01_1456,Circle_SDT,2021.2.3,60.10269138682832,
