Condition,Trial,Stim_place,Stimuli_file,Condition_1.thisRepN,Condition_1.thisTrialN,Condition_1.thisN,Condition_1.thisIndex,Second_Condition.thisRepN,Second_Condition.thisTrialN,Second_Condition.thisN,Second_Condition.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,18.666839599842206,None,y,36.53678650013171,18.666839599842206,None,,,,,,,,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,0,0,19,,,,,,,,,,,55.74232209986076,56.74279369995929,57.24843239993788,57.5094492000062,None,57.24843239993788,None,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,1,1,1,,,,,,,,,,,59.225995999993756,60.226136500015855,60.72592699993402,60.975536399986595,space,60.72592699993402,None,0.38248200016096234,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,2,2,7,,,,,,,,,,,61.62624809984118,62.626076499931514,63.126128799980506,63.376270999899134,space,63.126128799980506,None,0.4455868999939412,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,3,3,16,,,,,,,,,,,64.07612590002827,65.07617579982616,65.57637699996121,65.82639259984717,None,65.57637699996121,None,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,4,4,5,,,,,,,,,,,67.5595865000505,68.55956600001082,69.0588733998593,69.30951939988881,space,69.0588733998593,67.07556280004792,0.35278140008449554,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,5,5,13,,,,,,,,,,,69.94275549985468,70.94261849997565,71.4428973000031,71.69276300002821,space,71.4428973000031,None,0.352875400101766,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,6,6,23,,,,,,,,,,,72.32615049998276,73.3261606998276,73.82604600000195,74.0761516999919,None,73.82604600000195,None,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,7,7,2,,,,,,,,,,,75.80957849998958,76.80948359984905,77.30946419993415,77.55940419994295,space,77.30946419993415,75.32650529989041,0.3423148998990655,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,8,8,26,,,,,,,,,,,78.17567109991796,79.17610339983366,79.67612459999509,79.92631769995205,None,79.67612459999509,None,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,9,9,9,,,,,,,,,,,81.65951479994692,82.65884519997053,83.15961109986529,83.40975490002893,space,83.15961109986529,81.17586189997382,0.3481598000507802,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,10,10,0,,,,,,,,,,,84.026084800018,85.02599799982272,85.5262372000143,85.77598859998398,space,85.5262372000143,None,0.3494112999178469,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,11,11,8,,,,,,,,,,,86.39283129991964,87.39289329992607,87.89276660000905,88.14286149991676,space,87.89276660000905,None,0.33479250012896955,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,12,12,4,,,,,,,,,,,88.74280679994263,89.74291329993866,90.24312520003878,90.49281509988941,space,90.24312520003878,None,0.3204893998336047,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,13,13,22,,,,,,,,,,,91.09280520002358,92.09287179983221,92.59276969986968,92.84302989998832,None,92.59276969986968,None,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,14,14,28,,,,,,,,,,,94.57632520003244,95.57625919999555,96.07629689993337,96.32645129994489,None,96.07629689993337,94.09245619992726,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,15,15,10,,,,,,,,,,,98.05964099988341,99.05874409992248,99.55964379990473,99.80963849998079,space,99.55964379990473,97.57553799985908,0.36441739997826517,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,16,16,15,,,,,,,,,,,100.44287669984624,101.44280269998126,101.94280349998735,102.19297289988026,space,101.94280349998735,None,0.34885499998927116,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,17,17,11,,,,,,,,,,,102.80965129984543,103.80949669983238,104.30956960003823,104.55957569996826,space,104.30956960003823,None,0.5261718998663127,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,18,18,27,,,,,,,,,,,105.35951750003733,106.35946239996701,106.85958399996161,107.10966329998337,None,106.85958399996161,None,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,19,19,30,,,,,,,,,,,108.84268060000613,109.8430623000022,110.34288689983077,110.5929662999697,None,110.34288689983077,108.3589639000129,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,20,20,31,,,,,,,,,,,112.32619920000434,113.32630690000951,113.82639419985935,114.07658959995024,None,113.82639419985935,111.84277340001427,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,21,21,17,,,,,,,,,,,115.80960089992732,116.8096874000039,117.30961230001412,117.55953929992393,None,117.30961230001412,115.32582649984397,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,22,22,20,,,,,,,,,,,119.29291730001569,120.29236009996384,120.79291259986348,121.04301279992796,None,120.79291259986348,118.80955239990726,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,23,23,12,,,,,,,,,,,122.77628279989585,123.77636459982023,124.27622999995947,124.52655819989741,space,124.27622999995947,122.2926707000006,0.3354662999045104,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,24,24,24,,,,,,,,,,,125.14289769995958,126.14287179987878,126.64293269999325,126.89309299993329,None,126.64293269999325,None,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,25,25,6,,,,,,,,,,,128.6262288999278,129.6263627000153,130.12637840001844,130.37556739989668,space,130.12637840001844,128.14273419999518,0.4052669000811875,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,26,26,25,,,,,,,,,,,131.05971429985948,132.05955330003053,132.5595213000197,132.8098997999914,None,132.5595213000197,None,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,27,27,18,,,,,,,,,,,134.54295349982567,135.5429791000206,136.04296660004184,136.29295799997635,None,136.04296660004184,134.05895980005153,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,28,28,21,,,,,,,,,,,138.02630819985643,139.02627149992622,139.5263550998643,139.7764477999881,None,139.5263550998643,137.54248819989152,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,29,29,14,,,,,,,,,,,141.50964369997382,142.50978299998678,143.00950499996543,143.25993149983697,space,143.00950499996543,141.02669700002298,0.3542909000534564,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,go,"(0, 0)",grey_circle.png,0,30,30,3,,,,,,,,,,,143.89288759999909,144.89298489992507,145.3929067000281,145.64282809989527,None,145.3929067000281,None,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
Still,no-go,"(0, 0)",grey_square.png,0,31,31,29,,,,,,,,,,,147.37614959990606,148.376591200009,148.876684299903,149.12658369983546,None,148.876684299903,146.8933186000213,,,,,,,,t7,001,2021_Dec_01_1512,Circle_SDT,2021.2.3,59.998368059901175,
