Condition,Trial,Stim_place,Stimuli_file,Condition_1.thisRepN,Condition_1.thisTrialN,Condition_1.thisN,Condition_1.thisIndex,Second_Condition.thisRepN,Second_Condition.thisTrialN,Second_Condition.thisN,Second_Condition.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,22.01875240006484,None,y,110.528010699898,22.01875240006484,None,,,,,,,,,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,no-go,"(0, 0)",grey_square.png,0,0,0,19,,,,,,,,,,,133.08115980005823,134.0811829001177,134.5865696000401,134.84775030007586,None,134.5865696000401,None,,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,no-go,"(0, 0)",grey_square.png,0,1,1,22,,,,,,,,,,,136.56452229991555,137.56460330006666,138.06453679990955,138.314847700065,None,138.06453679990955,None,,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,go,"(0, 0)",grey_circle.png,0,2,2,1,,,,,,,,,,,140.04799559991807,141.04785989993252,141.54768369998783,141.79788290010765,space,141.54768369998783,139.56436139997095,0.3106932998634875,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,go,"(0, 0)",grey_circle.png,0,3,3,12,,,,,,,,,,,142.38145529991016,143.3811957000289,143.8812855000142,144.13097640010528,space,143.8812855000142,None,0.37718529999256134,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,go,"(0, 0)",grey_circle.png,0,4,4,6,,,,,,,,,,,144.7808715000283,145.78130430006422,146.28119209990837,146.53117009997368,space,146.28119209990837,None,0.26561819994822145,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,no-go,"(0, 0)",grey_square.png,0,5,5,30,,,,,,,,,,,147.0645401000511,148.0645582000725,148.56464269990101,148.81435259990394,space,148.56464269990101,None,0.2857675999403,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,no-go,"(0, 0)",grey_square.png,0,6,6,17,,,,,,,,,,,149.38119759992696,150.38109329994768,150.88123539998196,151.13147170003504,None,150.88123539998196,None,,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,no-go,"(0, 0)",grey_square.png,0,7,7,18,,,,,,,,,,,152.86452549998648,153.86456150002778,154.3644868999254,154.6145661000628,None,154.3644868999254,152.38072960008867,,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
Still,no-go,"(0, 0)",grey_square.png,0,8,8,23,,,,,,,,,,,156.34789590002038,157.34778710012324,157.84791360003874,158.09799939999357,None,157.84791360003874,155.86434630001895,,,,,,,,T2,001,2021_Dec_01_1428,Circle_SDT,2021.2.3,59.91256359453188,
