Condition,Trial,Stim_place,Stimuli_file,Condition_1.thisRepN,Condition_1.thisTrialN,Condition_1.thisN,Condition_1.thisIndex,Second_Condition.thisRepN,Second_Condition.thisTrialN,Second_Condition.thisN,Second_Condition.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,23.19527650019154,None,y,18.183777900179848,23.19527650019154,None,,,,,,,,,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,0,0,13,,,,,,,,,,,41.918451600009575,42.91819590004161,43.43252650019713,43.68495120014995,space,0.3786375999916345,43.43252650019713,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,1,1,10,,,,,,,,,,,44.334930800134316,45.3345813001506,45.83518659998663,46.08515360020101,space,0.264621099922806,45.83518659998663,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,2,2,31,,,,,,,,,,,46.61844490002841,47.618044200120494,48.11837960011326,48.368550800019875,None,,48.11837960011326,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,3,3,16,,,,,,,,,,,50.101693000178784,51.101373800076544,51.601610500132665,51.85176070011221,None,,51.601610500132665,49.618712899973616,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,4,4,6,,,,,,,,,,,53.585189800010994,54.585160200018436,55.08525250013918,55.33468610001728,space,0.37391159986145794,55.08525250013918,53.102099700132385,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,5,5,24,,,,,,,,,,,55.98517700005323,56.984947100048885,57.48519290005788,57.735161000164226,None,,57.48519290005788,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,6,6,19,,,,,,,,,,,59.46850199997425,60.46858920017257,60.96850370010361,61.218525000149384,None,,60.96850370010361,58.98564340011217,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,7,7,29,,,,,,,,,,,62.95117020001635,63.951211099978536,64.45179570000619,64.70179560012184,None,,64.45179570000619,62.4686094999779,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,8,8,4,,,,,,,,,,,66.43512350018136,67.4351526000537,67.9352218999993,68.1845397001598,space,0.35576780000701547,67.9352218999993,65.95207410003059,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,9,9,27,,,,,,,,,,,68.81862940010615,69.81762660015374,70.31846050010063,70.56856490019709,None,,70.31846050010063,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,10,10,8,,,,,,,,,,,72.3018066000659,73.30149010010064,73.80172590003349,74.05181950004771,space,0.34555299999192357,73.80172590003349,71.8187855000142,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,11,11,18,,,,,,,,,,,74.66862620017491,75.66814020019956,76.16856840020046,76.41857490013354,None,,76.16856840020046,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,12,12,7,,,,,,,,,,,78.15176809998229,79.15146630001254,79.65184330008924,79.90185490017757,space,0.30332749988883734,79.65184330008924,77.66874090000056,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,13,13,11,,,,,,,,,,,80.48527580010705,81.48521990003064,81.98524480010383,82.2352539000567,space,0.32199140009470284,81.98524480010383,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,14,14,21,,,,,,,,,,,82.8354025001172,83.83530899998732,84.3352294000797,84.58512510010041,None,,84.3352294000797,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,15,15,25,,,,,,,,,,,86.3185033001937,87.31851860019378,87.81856840010732,88.06850410019979,None,,87.81856840010732,85.83547040005215,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,16,16,12,,,,,,,,,,,89.80127190006897,90.80136270006187,91.30185819999315,91.55184740014374,space,0.3011915998067707,91.30185819999315,89.31884460011497,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,17,17,14,,,,,,,,,,,92.11861590016633,93.11816670000553,93.61858550016768,93.86866400018334,space,0.35248300014063716,93.61858550016768,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,18,18,20,,,,,,,,,,,94.50187400006689,95.50128090009093,96.00186219997704,96.25185710005462,None,,96.00186219997704,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,19,19,22,,,,,,,,,,,97.98525770008564,98.98487180005759,99.48527890001424,99.73541600001045,None,,99.48527890001424,97.50212950003333,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,20,20,9,,,,,,,,,,,101.46861640014686,102.46874610008672,102.9686147000175,103.21860989998095,space,0.2987306001596153,102.9686147000175,100.98574450006709,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,21,21,30,,,,,,,,,,,103.78530100011267,104.78500810009427,105.28539770003408,105.53524760017172,None,,105.28539770003408,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,22,22,3,,,,,,,,,,,107.26872840011492,108.26818630006164,108.76861290005036,109.01819840003736,space,0.2904608999378979,108.76861290005036,106.78550410014577,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,23,23,0,,,,,,,,,,,109.56856420007534,110.56822110014036,111.06856320006773,111.31871040002443,space,0.3905579000711441,111.06856320006773,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,24,24,26,,,,,,,,,,,111.98511850018986,112.98529550014064,113.48513790010475,113.73532580002211,None,,113.48513790010475,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,25,25,5,,,,,,,,,,,115.46864040009677,116.46863770019263,116.96852380014025,117.21867460012436,space,0.33103829994797707,116.96852380014025,114.98563170013949,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,26,26,28,,,,,,,,,,,117.81866720016114,118.81843650015071,119.31873530009761,119.56872540013865,None,,119.31873530009761,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,27,27,1,,,,,,,,,,,121.30184570001438,122.30143210012466,122.80187309999019,123.0519956999924,space,0.2572404998354614,122.80187309999019,120.81887580011971,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,28,28,17,,,,,,,,,,,123.58533710008487,124.58490190003067,125.08489850000478,125.33507940010168,None,,125.08489850000478,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,29,29,2,,,,,,,,,,,127.06866880017333,128.06803039996885,128.56859989999793,128.8186890000943,space,0.28255819994956255,128.56859989999793,126.58547280007042,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,go,"(0, 0)",grey_circle.png,0,30,30,15,,,,,,,,,,,129.3686136000324,130.36841910006478,130.86871850001626,131.11869190004654,space,0.46259530005045235,130.86871850001626,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Still,no-go,"(0, 0)",grey_square.png,0,31,31,23,,,,,,,,,,,131.85190050001256,132.8520567000378,133.35195480007678,133.60198490018956,None,,133.35195480007678,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
,,,,,,,,,,,,,,,,,,,,,,,,,,134.85194070008583,None,y,5.5511066999752074,134.85194070008583,None,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(-0.8, 0.4)",grey_circle.png,,,,,0,0,0,6,,,,,,,140.9187082001008,141.9184032001067,142.41852669999935,142.66872070007958,space,0.3847169999498874,142.41852669999935,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(0.8, 0.4)",grey_circle.png,,,,,0,1,1,11,,,,,,,143.3187128000427,144.31848310003988,144.8187092000153,145.06801290018484,space,0.36858089989982545,144.8187092000153,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(0.8, 0.4)",grey_circle.png,,,,,0,2,2,8,,,,,,,145.718518699985,146.71844159998,147.2187552000396,147.4685094000306,space,0.3363971000071615,147.2187552000396,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(-0.8, 0.4)",grey_square.png,,,,,0,3,3,22,,,,,,,148.06874770019203,149.06845780019648,149.56881089997478,149.8184018000029,None,,149.56881089997478,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(0.8, -0.4)",grey_circle.png,,,,,0,4,4,12,,,,,,,151.55199300008826,152.55194750009105,153.0519582000561,153.30201530014165,space,0.45536640007048845,153.0519582000561,151.0689705000259,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(-0.8, 0.4)",grey_circle.png,,,,,0,5,5,5,,,,,,,154.03539910004474,155.034889300121,155.53533390001394,155.78536990005523,space,0.32390690012834966,155.53533390001394,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(-0.8, 0.4)",grey_square.png,,,,,0,6,6,21,,,,,,,156.38546150014736,157.3851052999962,157.88540789997205,158.1353137001861,None,,157.88540789997205,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(0.8, 0.4)",grey_square.png,,,,,0,7,7,26,,,,,,,159.86875610006973,160.8684783000499,161.36878480017185,161.61878740019165,None,,161.36878480017185,159.3856403999962,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(-0.8, -0.4)",grey_circle.png,,,,,0,8,8,0,,,,,,,163.3520391001366,164.3517682000529,164.8522109000478,165.1020373001229,space,0.43126569990999997,164.8522109000478,162.8689939000178,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(0.8, 0.4)",grey_square.png,,,,,0,9,9,24,,,,,,,165.8025021001231,166.80181780015118,167.30211800010875,167.552054699976,None,,167.30211800010875,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(-0.8, -0.4)",grey_circle.png,,,,,0,10,10,1,,,,,,,169.28544340003282,170.28498570015654,170.78531920001842,171.03544750018045,space,0.322242199908942,170.78531920001842,168.80220980010927,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(-0.8, -0.4)",grey_square.png,,,,,0,11,11,18,,,,,,,171.63552740006708,172.6355002000928,173.1354960000608,173.38554490008391,None,,173.1354960000608,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(-0.8, -0.4)",grey_square.png,,,,,0,12,12,17,,,,,,,175.1186518999748,176.1182507001795,176.61886190017685,176.86859600013122,None,,176.61886190017685,174.6357766999863,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(-0.8, -0.4)",grey_square.png,,,,,0,13,13,19,,,,,,,178.6020833000075,179.6015687000472,180.1020688000135,180.3520150000695,None,,180.1020688000135,178.11902200011536,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(-0.8, 0.4)",grey_square.png,,,,,0,14,14,20,,,,,,,182.08546910015866,183.08553150016814,183.5855056999717,183.8354793000035,None,,183.5855056999717,181.6023097001016,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(0.8, -0.4)",grey_square.png,,,,,0,15,15,29,,,,,,,185.5685930000618,186.56826850003563,187.0688308000099,187.31876120017841,None,,187.0688308000099,185.08571620006114,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(0.8, -0.4)",grey_square.png,,,,,0,16,16,31,,,,,,,189.0521031001117,190.0520954001695,190.552101300098,190.80218310002238,None,,190.552101300098,188.56909950007685,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(0.8, -0.4)",grey_circle.png,,,,,0,17,17,13,,,,,,,192.5353019000031,193.5350246001035,194.03559230011888,194.28547960007563,space,0.3998277001082897,194.03559230011888,192.05239870003425,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(0.8, -0.4)",grey_square.png,,,,,0,18,18,30,,,,,,,194.9521206000354,195.95154880010523,196.4520976000931,196.70205740001984,None,,196.4520976000931,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(0.8, 0.4)",grey_circle.png,,,,,0,19,19,9,,,,,,,198.43530380004086,199.43506729998626,199.9355148000177,200.18561709998176,space,0.3237771999556571,199.9355148000177,197.95240790001117,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(0.8, -0.4)",grey_circle.png,,,,,0,20,20,15,,,,,,,200.78555670008063,201.78541150013916,202.28561770007946,202.53560890001245,space,0.2777591999620199,202.28561770007946,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(0.8, 0.4)",grey_square.png,,,,,0,21,21,25,,,,,,,203.08556980011053,204.08548940019682,204.58553840010427,204.8355859001167,None,,204.58553840010427,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(0.8, 0.4)",grey_circle.png,,,,,0,22,22,10,,,,,,,206.56889350013807,207.56859520007856,208.06892620003782,208.31888320017606,space,0.350520099978894,208.06892620003782,206.0857409001328,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(-0.8, 0.4)",grey_circle.png,,,,,0,23,23,4,,,,,,,208.9355244000908,209.9352579000406,210.43556830007583,210.68492770008743,space,0.30375680001452565,210.43556830007583,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(-0.8, -0.4)",grey_square.png,,,,,0,24,24,16,,,,,,,211.26848890003748,212.26836990006268,212.7688842001371,213.0188832001295,None,,212.7688842001371,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(-0.8, 0.4)",grey_circle.png,,,,,0,25,25,7,,,,,,,214.75220520002767,215.7517727999948,216.25219400017522,216.5021097001154,space,0.34326140000484884,216.25219400017522,214.26910560019314,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(-0.8, 0.4)",grey_square.png,,,,,0,26,26,23,,,,,,,217.11878430005163,218.11862120009027,218.61890890006907,218.86874770000577,None,,218.61890890006907,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(0.8, -0.4)",grey_circle.png,,,,,0,27,27,14,,,,,,,220.6022012999747,221.60215479996987,222.10218850011006,222.35214870003983,space,0.3010501000098884,222.10218850011006,220.11912480019964,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(0.8, -0.4)",grey_square.png,,,,,0,28,28,28,,,,,,,222.91883350000717,223.9186867000535,224.41902680019848,224.66880410001613,None,,224.41902680019848,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,no-go,"(0.8, 0.4)",grey_square.png,,,,,0,29,29,27,,,,,,,226.4021883001551,227.40188850020058,227.90211420017295,228.15222420007922,None,,227.90211420017295,225.9191646000836,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(-0.8, -0.4)",grey_circle.png,,,,,0,30,30,2,,,,,,,229.8855227001477,230.8851954001002,231.38546170014888,231.63558550016023,space,0.31375690014101565,231.38546170014888,229.40270540001802,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
Move,go,"(-0.8, -0.4)",grey_circle.png,,,,,0,31,31,3,,,,,,,232.21896440000273,233.218665700173,233.7190039001871,233.96903170016594,space,0.3164256999734789,233.7190039001871,None,,,,,,,T6,001,2021_Dec_01_1505,Circle_SDT,2021.2.3,59.949881963715804,
